[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 5244 5218 5976 7697 6218 5752 False
[vector] 6943 6125 6566 7661 4456 5690 False
[vector] 7503 5848 6347 7777 4452 6025 False
[vector] 5837 4962 7828 6802 5413 5807 False
[vector] 6735 5154 5872 7732 4334 6705 False
[vector] 6623 5338 7527 7458 5849 5909 False
[vector] 6180 4533 7091 6862 5964 5474 False
[vector] 7900 5007 6087 6505 4026 5490 False
[vector] 5655 5368 7267 7486 5420 5944 False
[vector] 5845 5373 6858 7423 5734 6198 False
[vector] 5505 6011 5929 6424 4062 7336 False
[vector] 6974 4518 6830 6498 5503 5876 False
[vector] 7174 5735 6265 7763 4637 6631 False
[vector] 5887 4732 5944 7838 4672 6924 False
[vector] 6483 5850 6596 7763 5273 5603 False
[vector] 6208 5623 7503 7233 5631 6784 False
[vector] 6646 5246 7492 6636 5158 5990 False
[vector] 5945 6447 7583 6834 4648 6298 False
[vector] 5004 5192 5337 6842 5662 7309 False
[vector] 6937 5868 5861 7432 4488 6231 False
[vector] 6776 4791 6102 7132 5311 6526 False
[vector] 6376 5453 6385 7931 5224 6287 False
[vector] 4163 5317 6994 6958 6362 5549 False
[vector] 7236 5580 6506 6837 4451 6755 False
[vector] 4486 5128 7002 6304 6030 5860 False
[vector] 4942 4630 5262 6892 6439 6036 False
[vector] 5124 5818 6848 7348 5788 6833 False
[vector] 6427 5877 7760 6922 5051 5915 False
[vector] 5347 4832 5276 7105 5939 7160 False
[vector] 6773 5649 6493 7485 5287 5822 False
[vector] 5979 5714 5450 6476 3532 7605 False
[vector] 6618 5254 7964 6140 4917 5006 False
[vector] 6934 6031 7047 7664 4693 6225 False
[vector] 5439 5875 5161 6673 4278 7502 False
[vector] 5230 3942 6285 6268 6528 5329 False
[vector] 5775 4901 6194 6556 5801 7030 False
[vector] 6622 5934 6356 7585 4997 6526 False
[vector] 6590 5591 7472 7679 4924 6124 False
[vector] 6281 5136 6607 8063 5119 6077 False
[vector] 6287 5236 5564 7954 4744 6749 False
[vector] 6185 6151 6801 6933 4592 6704 False
[vector] 5823 6218 6651 7233 4514 6668 False
[vector] 4156 4411 5588 6515 6315 6032 False
[vector] 6042 5396 5632 7638 5678 6558 False
